小区名,否,是
华乐苑,29527.0,0.0
华侨乐园,45638.0,49745.0
华侨城(番禺),16432.0,18976.2
华侨新村,0.0,60936.0
华南御景园,0.0,43671.0
华南新城北区,0.0,26464.0
华南新城南区,0.0,26044.0
华南理工大学东住宅区,0.0,54537.0
华南理工大学宿舍南秀村,0.0,62323.0
华南碧桂园漾翠苑,27344.0,0.0
华南碧桂园翠云山,0.0,25921.0
华南碧桂园翠宏台,26604.0,0.0
华南碧桂园翠山蓝天苑,0.0,39515.333333333336
华南路,0.0,6324.0
华发中央公园,0.0,57247.0
华园楼,0.0,23427.0
华文学院,0.0,32456.0
华景新城叠翠居,0.0,46097.0
华景新城泽晖苑,0.0,55521.0
华景新城芳满庭园,0.0,69845.0
华景新城逸意居,0.0,51284.0
华景雅苑德维轩,0.0,11781.0
华标广场,0.0,76929.0
华润天合,0.0,73503.0
华港花园,0.0,74592.0
华筑翡翠湾,0.0,36537.5
华翠街小区,39239.0,0.0
华逸锦轩,0.0,67010.0
华骏花园,0.0,84235.0
协和新世界,0.0,96465.0
南华广场,0.0,10017.0
南园居,0.0,40923.0
南国嘉园,0.0,45628.0
南国奥园,29820.0,28289.0
南国花园,0.0,115465.0
南沙万达广场,0.0,7788.5
南沙云山诗意,0.0,22898.0
南沙保利城,0.0,17580.0
南沙城,8306.0,0.0
南沙境界,0.0,14421.625
南沙大都汇,9481.0,0.0
南沙心意华庭,15901.0,14992.0
南沙滨海花园,0.0,31130.0
南沙珠江湾,0.0,18510.5
南沙碧桂园,14627.666666666666,12798.6
南沙碧桂园豪庭,0.0,18165.0
南沙金湾,0.0,15693.0
南沙金茂湾,0.0,28340.333333333332
南洲名苑,0.0,40099.0
南洲花苑AB区,0.0,20672.0
南浦海滨花园,22014.0,22210.0
南湖生活区,0.0,22259.0
南粤阁,0.0,48218.0
南翠苑,0.0,38231.0
南航新村,21160.0,0.0
南航碧花园D区,6580.0,0.0
南航花园,17465.0,0.0
南雅苑,0.0,49737.0
卡布奇诺,0.0,11044.0
历德雅舍,0.0,74698.0
又一居花园,29353.5,0.0
友田朗逸雅居,0.0,9895.0
友谊大厦,0.0,15099.0
双子星城,35702.0,0.0
双晖轩小区,0.0,14488.0
发改委宿舍,24059.0,0.0
叠溪花园,9089.0,0.0
叠翠峰,0.0,24169.428571428572
可逸豪苑,0.0,58287.0
合兴苑,0.0,25250.75
合和新城,0.0,19079.5
合景天峻,8689.0,0.0
合景誉山国际,8186.25,10589.0
合汇·中央广场,0.0,16490.0
合汇学府名郡,15064.0,15313.0
合生广场,19072.0,0.0
合生颐景华苑,0.0,45876.0
合益小区,0.0,23394.0
吉祥北园B区,0.0,18242.0
吉祥花苑,0.0,26978.0
同德花园同景苑,0.0,20609.0
同德花园同雅苑,0.0,22194.0
名人山庄,0.0,10254.0
名城御景绿洲,0.0,11312.0
名门大厦,58717.0,0.0
君华江畔豪园,0.0,51000.0
员村二横路11号大院,0.0,50482.0
员村四横路5号大院,0.0,39069.0
周门小区周门街,0.0,32402.0
和平新村,0.0,26586.0
和馨雅居,23243.0,0.0
喜洋居,0.0,45421.0
嘉仕花园东区,53951.0,57404.2
嘉和苑,0.0,53237.0
嘉宝华庭,0.0,67861.0
嘉德苑,0.0,24995.0
嘉景园,0.0,21171.0
嘉汇城一期,0.0,14834.6
嘉骏苑,0.0,51777.0
嘉鸿花园金玫瑰苑,0.0,41096.0
四季花园,0.0,35622.0
国美电器楼上,0.0,30675.0
国龙大厦,0.0,50262.5
地质大院,0.0,44268.0
城启荔港南湾,46380.0,0.0
城市家园一期,0.0,12509.0
城西花园,0.0,22586.666666666668
基立大厦,0.0,32923.0
基立新村,0.0,27363.5
增城一品山湖,0.0,9561.0
大北路,0.0,12936.0
大城云山,0.0,8248.0
大运家园,0.0,18536.5
大鹏花园,0.0,27053.0
天一新村,0.0,46249.0
天伦东时区,36293.0,0.0
天健上城,59167.0,62189.0
天平花苑,0.0,28073.0
天惠大厦,0.0,72890.0
天河东远洋宿舍,0.0,67763.0
天河区离退休干部第二休养所,0.0,49646.0
天河山庄,28146.0,0.0
天河星作,0.0,44122.0
天河直街远洋宿舍,0.0,45321.0
天胜村,0.0,46429.0
天荣小区,0.0,46649.0
天誉华庭,0.0,74093.0
天誉花园,63835.0,0.0
天雅居,0.0,35979.5
天雅阁,41969.0,0.0
天顺跃居,0.0,55924.0
天马丽苑二期,11286.0,13294.555555555555
天马河国际公馆,0.0,11934.0
天马河壹号一期,12889.0,0.0
天马河壹号五期,0.0,15632.75
太阳广场,52526.75,0.0
奥园城市天地,0.0,18963.0
奥园春晓,0.0,27326.0
奥园誉峯,0.0,11593.0
奥园香雪公馆,0.0,44653.0
如意中心,0.0,22701.0
如意花园,0.0,19993.5
宏康花园五期宏康东筑,0.0,17614.0
宝夏花园,0.0,27270.0
宝铼雅居,0.0,12600.0
实地常春藤,18229.0,19060.69230769231
实地蔷薇国际,11626.0,11587.666666666666
家和东湖映月,28054.0,0.0
富丽家园,16456.0,0.0
富丽家园丽水湾,29761.0,0.0
富丽家园乳芳园,0.0,16558.0
富丽家园富昌花园,0.0,18923.5
富丽家园桔芳园,0.0,17327.0
富丽家园莲芳园,0.0,14350.0
富丽广场,21625.25,21353.0
富丽花园,0.0,6425.0
富力东山新天地,0.0,38838.0
富力公园28,0.0,55808.0
富力千禧花园,0.0,54212.0
富力半岛,33363.0,32425.6
富力唐宁花园,0.0,53842.0
富力城北区,25199.0,25508.0
富力城南区,0.0,34515.0
富力天朗明居,49760.5,49275.6
富力天河华庭,0.0,102702.0
富力天禧花园,0.0,72593.0
富力广场D区,0.0,46229.5
富力广场S区,0.0,55570.0
富力御龙庭,0.0,72275.0
富力桃园,30379.0,33979.0
富力泉天下,0.0,6379.333333333333
富力环市西苑,46949.0,61746.0
富力金港城东区,10343.0,11355.25
富力阳光美居,0.0,26937.0
富华中路,0.0,15307.0
富和花园,0.0,35955.5
富域尚品居,21399.0,22429.0
富基广场B区,64628.0,52224.0
富庭华园,21701.0,23451.0
富邦大厦,0.0,55740.0
富都城,0.0,19200.333333333332
富雅名居,0.0,11072.0
富雅都市华庭,0.0,14370.0
尚上名筑一区,18497.0,17992.0
尚上名筑三期,0.0,17646.5
尚上名筑二期,18725.5,0.0
尚东君御雅苑,137106.0,0.0
尚东尚筑,32849.0,32951.5
尚东阳光,15891.0,15544.0
尚品雅居悦庭,0.0,12361.0
尚品雅居领秀,0.0,12432.0
尚贤坊,0.0,16223.0
岭南新世界,0.0,44608.833333333336
岭南湾畔,0.0,51103.0
岭南花园,22975.0,32674.0
峰湖御境,31639.0,32189.0
峻林,123349.0,0.0
工业路,0.0,14192.0
布查特官邸I期,0.0,28359.0
希尔顿阳光,0.0,75693.0
平康苑,0.0,17294.0
广东外语职业艺术学院五山校区,0.0,43695.0
广信白兰花园,0.0,31796.5
广华苑,0.0,22254.0
广园东路,0.0,25025.0
广园云苑新村,0.0,26290.666666666668
广地花园,0.0,53838.0
广州奥林匹克花园,0.0,30817.375
广州敏捷绿湖首府一期,0.0,7677.0
广州敏捷绿湖首府三期,0.0,8727.5
广州敏捷绿湖首府二期,0.0,8237.0
广州星河湾星座,0.0,39874.0
广州星河湾朗心园,0.0,37248.0
广州星河湾畅心园,0.0,38456.5
广州星河湾荟心园,0.0,36701.0
广州碧桂园华苑,0.0,34503.0
广州碧桂园福苑,0.0,24224.0
广州碧桂园美苑,0.0,22795.0
广州融创文旅城B1区,0.0,21150.333333333332
广州雅居乐花园上善若水,0.0,38889.0
广州雅居乐花园新地沁园,0.0,39179.0
广州雅居乐花园时光九篇,36586.0,30673.0
广州雅居乐花园雅逸庭,0.0,35243.333333333336
广工大院,0.0,59208.0
广弘天琪,104176.0,0.0
广晟海韵兰庭,0.0,15286.0
广船鹤园小区,0.0,22690.5
广隆苑,0.0,13955.0
广雅居,0.0,31047.0
康富花园,17209.0,16557.0
康裕北苑,0.0,23388.0
康裕园,0.0,18410.0
康裕大厦,0.0,18029.0
康雅花园,0.0,18524.6
建材小区,0.0,23056.0
彩虹花园东区,0.0,23712.5
影城花园,0.0,40879.666666666664
御金沙,0.0,39481.0
御金沙澜山,0.0,36190.0
德丰园,0.0,19505.0
德怡居,33167.0,33031.0
德荣小区,48712.0,60457.0
心谊交警宿舍,0.0,28980.0
怡安花园,0.0,39541.0
怡富尚苑,0.0,22202.0
怡居新村,0.0,17267.0
怡德苑(黄埔),0.0,35259.0
怡心苑,0.0,25649.0
怡苑,0.0,75527.0
怡雅花园,0.0,10005.5
恒城大厦,0.0,45585.0
恒大山水城,11010.714285714286,13792.857142857143
恒大山水郡,0.0,9486.0
恒大御府,0.0,50140.0
恒宝华庭,0.0,52737.0
恒展江山时代花园,0.0,11447.0
恒福花园,10529.0,0.0
恒福路,0.0,33410.0
恒荔湾畔,0.0,53876.0
恒雅苑,0.0,40110.0
恒骏花园,0.0,57180.0
悦安花园,0.0,42034.0
悦涛雅苑,0.0,32004.0
惠延楼,0.0,26483.0
惠百氏广场,17108.0,15771.5
愉景南苑,0.0,57667.0
愉景雅苑,50885.0,0.0
敏捷伊顿公馆,0.0,13493.0
敏捷科创中心,9140.0,0.0
敏捷锦绣天伦,14433.57142857143,15106.142857142857
教工新村,0.0,69099.0
敦和花园,0.0,36215.0
文昌南路,0.0,29217.0
文船生活区东区,0.0,21552.0
文船生活区新东区,0.0,28784.0
新世界东逸花园,0.0,82721.0
新世界凯粤湾,41060.0,43899.625
新世界逸彩庭园,0.0,32813.0
新世界锦云峰,43325.0,45396.5
新光城市花园,0.0,78370.0
新光百德广场,0.0,4749.0
新兴白云花园,0.0,22225.666666666668
新塘新世界花园,13898.0,0.0
新塘新世界花园万象苑,15953.666666666666,17694.85714285714
新塘新世界花园嘉华苑,11373.0,12600.666666666666
新市花园一区,0.0,25165.0
新市花园一期,0.0,22656.0
新市花园二区,0.0,23092.5
新康花园,0.0,12794.666666666666
新月明珠花园,0.0,31478.0
新港西路158号大院,0.0,40608.0
新源雅居,0.0,16850.0
新燕花园,0.0,48644.0
新福港鼎峰,0.0,50224.0
新苑大厦,0.0,21236.0
新都城市花园,0.0,17597.0
新都盛世名门,16427.0,16918.666666666668
新都盛世名门宏城汇,15622.0,16880.333333333332
方圆云山诗意二期,0.0,13804.0
方圆明月山溪,0.0,8246.0
旭景家园,42847.0,43612.833333333336
时代中国时代天韵,19749.0,25403.0
时代云图,0.0,19695.0
时代倾城(增城区),11316.0,0.0
时代倾城(番禺区),0.0,27680.0
时代南湾,19999.0,20298.88888888889
时代城,0.0,15864.888888888889
时代外滩,0.0,48292.0
时代天启,0.0,11295.0
时代康桥,0.0,13348.0
时代春树里,26313.0,28041.5
时代柏林,0.0,38138.0
时代玫瑰园,0.0,36867.375
时代花园,0.0,33959.0
昊龙花园北区,0.0,22812.0
明星新村,0.0,9527.0
明汇轩,0.0,21183.0
明源楼,0.0,35597.0
易富大厦,16280.0,0.0
星力时代豪庭,0.0,27195.5
星汇金沙花园,0.0,28697.0
星河丹堤澜山,0.0,18127.0
星河盛世,0.0,21323.0
星河苑,0.0,19898.0
星海明珠,0.0,47629.0
星缘美居,0.0,13606.0
星誉花园,0.0,26039.0
春庭花园,0.0,22996.0
春晖苑(天河),29803.0,0.0
春晖闲庭,0.0,25079.0
春暖花园,0.0,22858.666666666668
春江花园,0.0,39894.0
春鸿居,0.0,20720.0
晓南花园,24995.0,0.0
晓园新村晓园东,0.0,35871.0
晓园新村晓园北,23013.0,0.0
晓园新村晓园新,0.0,32112.0
晓港湾,28598.0,30710.75
晓翠苑,0.0,19749.0
景安街1-16号宿舍,0.0,21881.0
景新国际名城,9167.0,11166.75
景泰名苑,0.0,25364.0
景泰新村,25612.333333333332,24105.875
景观苑,23865.0,0.0
晴海岸,0.0,17250.0
朗逸居,0.0,9619.0
机关村,0.0,26321.0
東海花園,0.0,35571.0
松涛北苑,17953.0,0.0
枫丹雅筑,0.0,71822.0
柏涛雅苑,0.0,51004.5
桥福园,22875.0,0.0
桥虹花园,0.0,22223.0
梅花村,0.0,60844.0
梅苑小区,0.0,34159.0
棠德花苑,28121.0,31040.714285714286
棠雅苑,0.0,35116.0
橡树园,0.0,39272.666666666664
正升雅境,0.0,30718.0
民航小区向云西街,0.0,24729.0
氮肥厂宿舍,0.0,17922.0
水电二局宿舍,0.0,10461.0
水荫路,0.0,45549.0
永安居,0.0,30343.0
汇东国际花园,12612.0,15288.375
汇侨新城北区,0.0,21947.333333333332
汇侨新城南区,23600.0,32270.0
汇富花园,0.0,44700.0
汇峰苑,0.0,93696.0
汇港威华雅苑,10268.0,9035.0
汇美体育花园,0.0,11887.0
汇雅花园,0.0,14980.0
汉中紫薇苑,0.0,10802.0
江南大道南,0.0,25850.0
江南新村,0.0,17463.666666666668
江南新苑,62573.0,62476.0
江南花园,0.0,49271.0
江景苑,38552.0,0.0
江湾花苑,0.0,33574.0
江源半岛花园,0.0,92480.0
江畔华庭,0.0,62909.0
沙园,0.0,25163.0
河源大厦,39698.0,0.0
波尔多庄园,59366.0,0.0
泰景花园,0.0,31540.5
泰景花园东城华庭,36464.0,0.0
泽德花苑,0.0,16009.0
洛桑美地,60942.0,0.0
洛涛南区,0.0,25301.166666666668
洛湖居,0.0,22631.0
浪琴居,51278.0,55938.0
海伦堡御院,22617.0,0.0
海伦堡花园,12980.666666666666,13441.333333333334
海伦春天,0.0,10857.0
海天花园,30666.0,0.0
海天花苑,37075.333333333336,42061.0
海欣街海关宿舍,0.0,51146.0
海洋研究所宿舍,0.0,31405.0
海滨花园,21908.4,0.0
海珠半岛花园,0.0,66761.5
海璟奥园,0.0,16197.0
海运小区,0.0,57680.0
海龙湾,25096.0,24409.0
淘金家园一期,0.0,66075.0
淘金家园二三期,0.0,85667.0
深业金翠湾,0.0,40182.0
清华居,0.0,20599.0
温馨里,0.0,25806.0
源海御苑,0.0,35439.0
溢盈湖畔别墅,10552.0,0.0
滨江中路,0.0,21111.0
滨江瑞城,0.0,38399.0
瀚林水岸,0.0,58367.5
灏景阁,0.0,44433.0
犀牛路,0.0,49160.0
狮带岗,0.0,34695.0
玫瑰园,0.0,43732.0
环宇花园,0.0,37979.0
环翠园,30330.0,0.0
现代城市花园,0.0,14079.0
珊瑚湾畔,0.0,37671.0
珑翠北区,0.0,42422.0
珑翠花园,0.0,38794.75
珠光御景山水城,9400.0,9372.0
珠委大院,0.0,59561.0
珠岛花园,30621.0,36017.25
珠江俊园,0.0,81533.0
珠江华景里,0.0,81193.0
珠江嘉园,0.0,14896.5
珠江国际城,0.0,10187.2
珠江大厦,0.0,40045.0
珠江帝景华苑,0.0,82894.0
珠江帝景苑,77999.0,88142.5
珠江新岸公寓,43443.0,0.0
珠江花园,28776.0,23774.0
珠江花城,54375.0,58212.0
珠江金茂府,51755.0,57027.0
理想蓝堡国际花园,0.0,88523.0
瑞华苑,0.0,24755.5
瑞和园,0.0,12884.0
瑞心苑,0.0,52227.0
瑞达大厦,0.0,42511.0
璟泰大厦,61343.0,0.0
田心社区,0.0,10482.0
电力新村,0.0,19535.0
番禺奥林匹克花园,0.0,25640.0
番禺海伦堡花样年华一期,0.0,24925.666666666668
白云家园,0.0,30063.0
白云畔山花园圣地摩坊,0.0,34912.0
白云雅苑,0.0,21019.0
白云高尔夫花园东区,27339.0,33169.0
白云高尔夫花园荷塘月色,39130.5,45609.0
白天鹅花园,36024.0,0.0
百事佳新村A区,21274.0,0.0
百合豪园,13195.0,0.0
百合路38-64号宿舍（双号）,0.0,47504.0
百合雅居,8855.0,0.0
百荣园,22172.0,0.0
盈彩美居,50272.0,53442.0
盘福路,0.0,42111.0
省委党校大院,0.0,75019.0
省粮油宿舍,0.0,21080.0
石岗四巷16号大院,0.0,26369.0
石碁城市花园,0.0,16412.0
碧桂园假日半岛映翠苑,0.0,5094.0
碧桂园凤凰城凤仪苑,12617.0,19017.0
碧桂园凤凰城凤凰名苑,16340.0,0.0
碧桂园凤凰城凤晴苑,12982.0,0.0
碧桂园凤凰城凤锦苑,14801.25,16342.0
碧桂园城市花园漫绿苑,0.0,12836.0
碧桂园城市花园花岸苑,11441.0,10982.0
碧桂园天玺湾,0.0,18413.454545454544
碧桂园荔山雅筑,0.0,9023.25
碧桂园豪园挂绿湖,0.0,9722.0
碧桂园豪园翠湖苑,0.0,9714.0
碧桂园豪进广场,0.0,18288.75
祈乐苑,0.0,45963.0
祈福天龙苑,0.0,16291.0
祈福新村A区,25080.666666666668,0.0
祈福新村B区,36903.5,33283.0
祈福新村C区,15434.0,17315.0
祈福新村E区,0.0,21568.5
祈福新村倚湖湾,26742.0,0.0
祈福新村天湖居,0.0,24900.0
祈福新村康怡居,0.0,22657.0
祈福新村晓峰园,18295.0,19256.0
祈福新村海晴居,22094.0,28389.5
祈福新村湖景居,26389.0,31373.0
祈福新村祈福名都,0.0,33927.5
祈福新村绿怡南路,0.0,19584.0
祈福新村翠怡居,20568.0,0.0
祈福新村翠湖居,0.0,26042.0
祈福新村蝶舞轩,0.0,30174.0
祈福新村迎风阁,22367.5,0.0
祈福新村青怡居,22098.8,21937.666666666668
祈福水城,0.0,24213.0
祈福缤纷汇,30816.0,33224.77777777778
祈福辉煌台,0.0,12328.0
祈福都会花园,0.0,9685.0
祥景花园AC区,0.0,22979.333333333332
祥景花园雍翠园,0.0,24442.0
祥辉广场,18174.0,0.0
福盛花苑,0.0,19309.25
福莱花园,45737.0,0.0
禺秀园,0.0,15533.0
禺雅园,0.0,16152.0
科城山庄锦泽园,42019.5,0.0
科慧花园,0.0,15250.0
穗乐花园,0.0,35562.0
穗发花园,29052.0,31767.0
穗园小区,0.0,63513.666666666664
穗龙花园,0.0,39760.0
第三金碧花园,0.0,43680.0
第二金碧花园,42020.0,0.0
粤和楼,48980.0,0.0
粤海丽江花园,0.0,119048.0
紫光园,0.0,13951.0
紫泉流溪湾,0.0,10312.666666666666
紫泉翠荔嘉园,0.0,8248.0
紫薇丽都,0.0,22787.0
紫薇花园,0.0,32704.5
红棉苑北区,0.0,30074.0
红棉苑南区,0.0,24635.0
绿地城凤语湾,0.0,23803.0
绿地城泊语湾,19063.5,22422.0
绿庭雅苑,0.0,21153.0
绿茵庭园,31046.0,24634.0
羊和园,0.0,74326.0
羊城花园,0.0,34227.0
美业阁,0.0,10423.0
美力盈彩花苑,0.0,15269.0
美心东苑,0.0,19569.333333333332
美心翠拥华庭一期,20263.0,20699.5
美心花园,0.0,11601.0
美景阁,9867.0,0.0
美林海岸,71965.0,75812.0
美林湖畔花园,0.0,67298.0
美林轩逸时光,0.0,16925.0
美福花园,9880.0,0.0
美荔尚筑,47143.0,0.0
群星新邨,14830.0,13925.5
群星花园,0.0,8183.0
翠华绿茵苑,12886.0,0.0
翠城花园,0.0,55851.333333333336
翠屏中惠雅苑,0.0,55982.0
翠怡小区,0.0,27662.0
翠馨华庭,35806.0,0.0
翡翠绿洲森林半岛,13885.0,15752.5
翡翠绿洲湖绣苑,0.0,15289.0
翡翠绿洲育才阳光苑,0.0,14196.0
耀华国际,0.0,37514.0
联发名苑,0.0,23132.0
聚德花苑,0.0,33201.0
聚龙阁,0.0,64230.0
自在城市花园一二期,27137.333333333332,25457.0
自由人花园,0.0,17779.333333333332
航都花园,0.0,13675.0
芬芳小区,0.0,21770.0
芭堤水岸,64222.666666666664,0.0
花城苑,9860.0,10452.0
花语水岸,0.0,47975.5
花都紫薇花园,0.0,10553.0
花都银燕大厦,11592.0,11672.0
花都阳光家园,0.0,12082.0
芳园居教师新村,0.0,22488.0
芳村花园,0.0,31365.0
芳草园,0.0,92745.5
荔园小区,0.0,25887.333333333332
荔富湖畔,9840.0,10953.4
荔林春晓,0.0,8405.0
荔海鸣蝉花园,26201.0,0.0
荔港南湾H区,0.0,42082.0
荔湖明苑,0.0,39328.0
荔芳园,0.0,28573.0
荟雅苑,74131.0,0.0
荷景一区,0.0,15429.0
荷景花园二区,0.0,12632.0
莲花别墅,0.0,15444.0
萝岗奥园广场,14736.0,0.0
葛洲坝广州紫郡府,0.0,52246.0
蓝色康园,0.0,66223.0
融创御园,0.0,12804.5
裕丰新村,0.0,17234.0
裕林苑,0.0,12603.0
西关海,0.0,65485.5
西华路,0.0,36382.0
西湾路,0.0,32550.0
西福蓝湾,12453.0,0.0
西门口广场,0.0,49273.0
观山苑,50484.0,0.0
解放北路(越秀区),0.0,43898.0
誉城苑,0.0,54872.0
诺德名都,32487.0,0.0
谷围新村,0.0,18048.0
象牙厂宿舍,19532.0,0.0
豪利花园,0.0,19112.0
豪景花园,0.0,32532.0
豪进山湖珺璟,0.0,18322.0
豪骏名苑,12107.0,0.0
贝丽花园,29256.0,28427.0
财厅大院,0.0,60041.0
财智大厦,25599.0,0.0
赛拉维,0.0,55618.333333333336
赤岗一街大院赤岗一街,0.0,27141.0
越秀上品轩,0.0,65532.5
越秀保利爱特城,19139.0,22391.0
越秀北路,0.0,38611.0
越秀可逸江畔,11022.0,0.0
越秀岭南山畔,0.0,45361.0
越秀星汇云城,0.0,47051.0
越秀滨海悦城,0.0,22717.0
