看小区园林 格局方正实用 通风采光好 刚需上车,美心翠拥华庭一期,番禺客运站,3室2厅 ,86.86, 北 , 简装 ,6, 2004年 , 塔楼,2,24,1760000.0,"20,263元/平",VR房源 房本满五年 随时看房 
9号线汽车城站  南北对流，拎包入住 中高层 3房,万科天景花园,铁路西,3室1厅 ,95.73, 南 北 , 精装 ,23, 2009年 , 塔楼,3,25,1190000.0,"12,431元/平",近地铁 VR房源 房本满五年 随时看房 
满五年  中高楼层  方正少有南向三房,海伦堡花园,沙村,3室2厅 ,94.86, 南 , 精装 ,18, 2012年 , 塔楼,1,31,1400000.0,"14,759元/平",VR房源 房本满五年 随时看房 
天马丽苑二期 2室1厅 南,天马丽苑二期,铁路西,2室1厅 ,67.0, 南 , 精装 ,34, 2007年 , 塔楼,2,29,990000.0,"14,777元/平",VR房源 房本满两年 随时看房 
天誉东向中高层三居，视野开阔采光通风好,亚运城天誉,亚运城,3室2厅 ,103.74, 东 东北 , 精装 ,55, 2013年 , 塔楼,1,27,2390000.0,"23,039元/平",VR房源 房本满五年 随时看房 
朗逸居，格局方正，采光通风好，配套完善，近地铁。。,朗逸居,旧区,3室1厅 ,103.97, 南 , 简装 ,9, 1999年 , 板楼,0,31,1000000.0,"9,619元/平",近地铁 VR房源 房本满五年 随时看房 
山水城  104方   东南向  精装修  过5且唯一,珠光御景山水城,江浦街,3室2厅 ,104.57, 东南 , 精装 ,24, 2015年 , 塔楼,1,26,980000.0,"9,372元/平",VR看装修 房本满五年 随时看房 
保利I立方南向边位复式4房两卫中楼层无遮挡视野好,保利i立方,永宁,4室2厅 ,95.62, 南 , 精装 ,17, 2018年 , 塔楼,1,22,1330000.0,"13,910元/平",VR房源 房本满两年 随时看房 
此房是一梯两户 南北对流 大阳台，低密度，管理好。,锦尚名苑,新区,4室2厅 ,142.6, 南 , 简装 ,6, 2005年 , 板楼,2,29,2100000.0,"14,727元/平",近地铁 VR房源 房本满五年 随时看房 
景观开阔 江景大平层南北对流 户型没有改动过,珊瑚湾畔,厦滘,4室2厅 ,191.13, 南 北 , 精装 ,32, 2005年 , 塔楼,1,26,7200000.0,"37,671元/平",VR看装修 房本满五年 随时看房 
保利罗兰安静楼栋 视野开阔无遮挡 采光好,保利罗兰国际,科学城,3室1厅 ,101.6, 南 , 简装 ,33, 2016年 , 塔楼,2, 1个月以前发布,4200000.0,"41,339元/平",VR看装修 房本满两年 随时看房 
满5唯一 南北对流户型 装修好 随时看房,敏捷锦绣天伦,新塘北,3室2厅 ,119.42, 南 北 , 精装 ,32, 2015年 , 塔楼,0,28,1930000.0,"16,162元/平",VR看装修 房本满五年 随时看房 
大半岛望花园，采光视野好，方正大三房,海伦堡花园,沙村,3室1厅 ,106.82, 北 , 简装 ,12, 2008年 , 塔楼,1,26,1410000.0,"13,200元/平",VR房源 房本满五年 随时看房 
花城苑，格居方正，采光充足，配套设施齐全，交通方便,花城苑,旧区,3室2厅 ,93.77, 南 , 精装 ,8, 2004年 , 塔楼,0, 1个月以前发布,980000.0,"10,452元/平",近地铁 VR看装修 房本满两年 随时看房 
佳兆业精装三房，南向保养好有衣帽间，诚心卖,佳兆业城市广场,南岗,3室2厅 ,83.85, 东南 , 精装 ,32, 2017年 , 塔楼,3, 1个月以前发布,2060000.0,"24,568元/平",VR房源 房本满两年 随时看房 
佳兆业城市广场 4室2厅 南 北,佳兆业城市广场,南岗,4室2厅 ,132.0, 南 北 , 毛坯 ,32, 2017年 , 塔楼,0, 1个月以前发布,3880000.0,"29,394元/平",VR房源 房本满两年 随时看房 
鑫隆世家精装三房，高层南向视野采光好,鑫隆世家,石楼,3室2厅 ,97.8, 南 , 精装 ,15, 2012年 , 塔楼,0, 1个月以前发布,1880000.0,"19,223元/平",VR看装修 房本满五年 随时看房 
罗兰大四房 南北对流 安静 中楼层 精装修 业主诚心,保利罗兰国际,科学城,4室2厅 ,172.87, 南 北 , 精装 ,34, 2013年 , 塔楼,2, 1个月以前发布,7950000.0,"45,989元/平",VR看装修 房本满两年 随时看房 
挪威森林位置好，格局方正实用，通风透气，南向望山,广州雅居乐花园雅逸庭,雅居乐,3室2厅 ,140.0, 西南 , 精装 ,19, 2008年 , 塔楼,6, 1个月以前发布,4500000.0,"32,143元/平",近地铁 VR房源 房本满五年 随时看房 
带70平方大露.台保养好，房子新,富雅名居,新塘北,3室1厅 ,121.93, 东南 南 北 , 精装 ,9, 2005年 , 塔楼,0, 1个月以前发布,1350000.0,"11,072元/平",VR房源 房本满五年 随时看房 
汇东国际花园南向大二房，红本在手，诚意放卖,汇东国际花园,白江,2室1厅 ,87.14, 南 , 毛坯 ,28, 2016年 , 塔楼,1, 1个月以前发布,1200000.0,"13,771元/平",VR房源 房本满两年 随时看房 
康裕园东区，已加装电梯并使用中，格局方正,康裕园,市桥,3室2厅 ,123.3, 南 北 , 简装 ,7, 1993年 , 塔楼,2, 1个月以前发布,2580000.0,"20,925元/平",VR看装修 房本满两年 随时看房 
小区独栋，中间楼层，望园林，视野开阔,万科东荟城,香雪,3室1厅 ,97.41, 西南 , 精装 ,33, 2015年 , 塔楼,4, 1个月以前发布,3350000.0,"34,391元/平",VR房源 房本满五年 随时看房 
全新三房 高楼层 无遮挡 采光充足,实地蔷薇国际,荔城西区,3室2厅 ,86.02, 北 , 精装 ,32, 2019年 , 板楼,0, 1个月以前发布,1000000.0,"11,626元/平",VR看装修 房本满两年 随时看房 
力诚凯怡湾二期 南北对流三房 业主保养好,力诚凯怡湾,新塘南,3室1厅 ,89.94, 南 北 , 精装 ,18, 2019年 , 塔楼,1, 1个月以前发布,1200000.0,"13,343元/平",VR看装修 房本满两年 随时看房 
华筑翡翠湾 精装三房 采光好 通风好 东南朝向 电梯房,华筑翡翠湾,大石,3室1厅 ,89.35, 南 , 精装 ,32, 2018年 , 塔楼,1, 1个月以前发布,3120000.0,"34,919元/平",VR看装修 房本满两年 随时看房 
大两房户型方正，低密度顶楼复式，采光充足使用率高,广州雅居乐花园时光九篇,雅居乐,3室2厅 ,82.0, 北 , 简装 ,9, 2010年 , 塔楼,4, 1个月以前发布,3000000.0,"36,586元/平",VR房源 房本满五年 随时看房 
东怡新区 东雅园 电梯3房 格局方正,东怡新区东雅园,东怡新区,3室2厅 ,100.87, 南 , 简装 ,12, 2003年 , 塔楼,3, 1个月以前发布,2250000.0,"22,306元/平",VR房源 房本满五年 随时看房 
南浦海滨花园 临.近地铁口 低密度 户型方正,南浦海滨花园,南浦,3室2厅 ,102.23, 北 , 精装 ,6, 2002年 , 塔楼,6, 1个月以前发布,2180000.0,"21,325元/平",近地铁 VR看装修 房本满五年 随时看房 
白兰花园 南向大两房，带平台花园 满五物业,广信白兰花园,景泰,2室1厅 ,78.11, 南 , 精装 ,7, 1998年 , 塔楼,1,31,2080000.0,"26,630元/平",近地铁 VR房源 房本满五年 随时看房 
业主诚心卖房，看房方便，花园小区,创逸雅苑,龙口东,2室1厅 ,95.78, 北 , 精装 ,35, 2009年 , 板塔结合,4,30,7800000.0,"81,437元/平",近地铁 VR房源 房本满五年 随时看房 
周门街南向实用大三房有加装电梯位置户型方正可间主套,周门小区周门街,周门,3室1厅 ,83.04, 南 , 精装 ,9, 1998年 , 平房,0, 1个月以前发布,2680000.0,"32,274元/平",VR看装修 房本满五年 随时看房 
此房采光通风好 装修保养好 方正两房全部有窗户,越秀北路,小北,2室1厅 ,41.44, 东南 西 , 其他 ,9, 1990年 , 塔楼,3,24,1600000.0,"38,611元/平",近地铁 VR房源 房本满五年 随时看房 
祈福A区 联排别墅带前后花园 近地铁,祈福新村A区,祈福新村,4室2厅 ,124.54, 北 , 精装 ,1, 1994年 , 平房,0,31,3880000.0,"31,155元/平",近地铁 VR房源 房本满五年 随时看房 
近地铁、间隔实用、精装修、采光好、旺中带静,金花小区,西华路,2室1厅 ,40.33, 东 北 , 精装 ,9, 2003年 , 塔楼,0,20,1480000.0,"36,698元/平",近地铁 VR看装修 房本满五年 随时看房 
碧桂园天玺湾 满五 南北对流 望小区园林 看房方便,碧桂园天玺湾,进港大道,3室2厅 ,98.01, 南 北 , 精装 ,31, 2014年 , 板塔结合,0,29,1700000.0,"17,346元/平",VR房源 房本满五年 随时看房 
过五唯一三房两卫高层望江单位笋盘,万科柏悦湾,大坦沙,3室2厅 ,96.04, 北 , 精装 ,34, 2010年 , 塔楼,0,30,3900000.0,"40,609元/平",近地铁 VR看装修 房本满五年 随时看房 
新都城市花园 3室2厅 东,新都城市花园,新区,3室2厅 ,116.5, 东 , 精装 ,9, 2005年 , 塔楼,1,27,2050000.0,"17,597元/平",近地铁 VR看装修 房本满五年 随时看房 
广州北站地铁口，大社区南北对流大三房.,时代城,铁路西,3室2厅 ,116.14, 南 , 毛坯 ,25, 2010年 , 塔楼,0,28,1785000.0,"15,370元/平",VR看装修 房本满五年 随时看房 
海晴居三房南向一楼大花园，方正实用采光好。,祈福新村海晴居,祈福新村,3室1厅 ,74.2, 南 , 精装 ,6, 2003年 , 板楼,2,27,2400000.0,"32,346元/平",VR房源 房本满五年 随时看房 
碧桂园天玺湾南向全新未住小三房适合刚需年轻人,碧桂园天玺湾,进港大道,3室2厅 ,89.33, 东南 , 精装 ,31, 2014年 , 板塔结合,4,28,1680000.0,"18,807元/平",VR房源 房本满五年 随时看房 
户型方正 南向中层看花园位置安静 满五年税费少,汇美体育花园,新塘北,3室2厅 ,124.51, 南 北 , 精装 ,23, 2006年 , 塔楼,0,24,1480000.0,"11,887元/平",VR房源 房本满五年 
保养好 中低层 朝南 近小区大门口,锦绣趣园,钟村,3室2厅 ,95.95, 西南 , 精装 ,6, 2005年 , 塔楼,0,21,2280000.0,"23,763元/平",VR看装修 房本满五年 
南向中高层两房 精装保养好 随时可过户,中森茗苑,新塘北,2室2厅 ,70.55, 南 , 精装 ,17, 2016年 , 塔楼,4,19,1020000.0,"14,458元/平",VR房源 房本满五年 随时看房 
鸿禧华庭一期  邻近地铁 南北对流  精装修 可拎包入住,鸿禧华庭,市桥,3室2厅 ,133.91, 西南 , 精装 ,17, 2004年 , 塔楼,0,20,5300000.0,"39,579元/平",近地铁 VR看装修 房本满两年 
江南新村 近地铁 近前门  精装修  可拎包入住,江南新村,市桥北,3室2厅 ,73.89, 西南 , 精装 ,7, 1998年 , 塔楼,1,22,1300000.0,"17,594元/平",近地铁 VR看装修 房本满五年 
视野好 保养新 采光充足 业主急卖,丽江花园九如通津,南浦,3室2厅 ,105.5, 西南 , 精装 ,11, 2000年 , 塔楼,0,24,3150000.0,"29,858元/平",VR房源 房本满两年 
采光通风好，全屋品牌定制，自住保养好,亚运城天成,亚运城,3室2厅 ,99.05, 南 , 精装 ,55, 2019年 , 塔楼,2,21,2720000.0,"27,461元/平",VR看装修 房本满两年 随时看房 
祈福新村B区大别墅  靓装 过五无抵押,祈福新村B区,祈福新村,6室2厅 ,197.91, 北 , 精装 ,1, 1995年 , 暂无数据,4, 1个月以前发布,8800000.0,"44,465元/平",VR房源 房本满五年 
环市东商圈 青菜东街电梯大三房双阳台,先烈南路青菜东街,建设路,3室2厅 ,92.58, 东南 , 简装 ,8, 1990年 , 塔楼,1,31,4450000.0,"48,067元/平",近地铁 VR看装修 房本满五年 
南沙珠江湾看海，满五唯一，户型房正，产权清晰,南沙珠江湾,南沙湾,3室2厅 ,137.46, 南 北 , 其他 ,18, 2012年 , 板塔结合,2,29,2150000.0,"15,641元/平",VR房源 房本满五年 随时看房 
房子是办公 适合出租 过2年 产权50年，低层方便上落,中贸国际,新塘北,3室1厅 ,109.0, 东南 , 精装 ,13, 2016年 , 塔楼,1, 1个月以前发布,580000.0,"5,322元/平",房本满五年 随时看房 
中间楼层，视野开阔，采光充足，出行方便,时代春树里,香雪,3室2厅 ,80.54, 东北 , 精装 ,18, 2016年 , 塔楼,5, 1个月以前发布,2270000.0,"28,185元/平",VR看装修 房本满五年 随时看房 
金泽豪庭 高层南北对流大三房 望花园安静不吵,金泽豪庭一期,白江,3室2厅 ,114.94, 南 北 , 精装 ,27, 2009年 , 塔楼,5, 1个月以前发布,1800000.0,"15,661元/平",近地铁 VR看装修 房本满五年 随时看房 
单边大户型，格局方正，南北对流，保养新,时代春树里,香雪,4室1厅 ,113.09, 南 , 精装 ,34, 2017年 , 塔楼,6, 1个月以前发布,3020000.0,"26,705元/平",VR看装修 房本满五年 随时看房 
三房急卖  看房方便  各付各税  通风采光好,佳兆业城市广场,南岗,3室2厅 ,81.03, 北 , 精装 ,32, 2017年 , 塔楼,3, 1个月以前发布,1950000.0,"24,066元/平",VR看装修 房本满两年 随时看房 
豪进山湖精装大三房  南北对流  业主急卖 装修保养好,豪进山湖珺璟,白江,3室2厅 ,123.35, 南 北 , 精装 ,20, 2011年 , 塔楼,2, 1个月以前发布,2260000.0,"18,322元/平",VR看装修 房本满两年 随时看房 
高层三房两卫 视野开阔 装修保养好 可以拎包入住,新世界锦云峰,嘉禾望岗,3室2厅 ,93.58, 西北 北 , 简装 ,32, 2013年 , 塔楼,0,22,3930000.0,"41,997元/平",VR房源 房本满五年 随时看房 
房子满五年唯一，一线江景无遮挡，采光充足。,新世界凯粤湾,滘口,3室2厅 ,133.53, 东北 , 其他 ,33, 2012年 , 塔楼,1,25,6800000.0,"50,925元/平",近地铁 VR房源 房本满五年 随时看房 
南向全新未入住，产权清晰，随时交易,越秀滨海新城,进港大道,3室2厅 ,94.32, 东南 南 , 精装 ,34, 2017年 , 塔楼,0,26,1850000.0,"19,615元/平",VR看装修 房本满两年 随时看房 
时代南湾 南北对流 望湖的 过五年唯一 全新未住,时代南湾,南沙港,4室1厅 ,138.8, 东南 , 简装 ,32, 2013年 , 板塔结合,5,27,2580000.0,"18,588元/平",VR看装修 房本满五年 随时看房 
方正两房 阳台东南向 望花园 中层采光通风好,合兴苑,芳村,2室1厅 ,62.16, 南 , 简装 ,7, 1994年 , 板楼,2,20,1500000.0,"24,132元/平",近地铁 VR看装修 房本满五年 随时看房 
优山悦海南向3房  近地铁 配套成熟 交通便利,优山悦海,南沙港,3室2厅 ,110.03, 南 , 毛坯 ,18, 2013年 , 塔楼,0,20,1850000.0,"16,814元/平",近地铁 VR房源 房本满五年 随时看房 
天河北 南粤阁 东南向 高层 三房 视野开阔,南粤阁,林和,3室2厅 ,107.43, 东南 , 精装 ,30, 1998年 , 塔楼,2,25,5180000.0,"48,218元/平",近地铁 房本满五年 随时看房 
业主诚心出，高层视野好，门口近出入方便,万科幸福誉,知识城,3室2厅 ,95.38, 南 , 精装 ,33, 2014年 , 板塔结合,5,30,2150000.0,"22,542元/平",近地铁 VR房源 房本满两年 随时看房 
佳兆业城市广场 三房两卫户型 业主有心卖 jia格可谈,佳兆业城市广场,南岗,3室2厅 ,83.91, 北 , 精装 ,32, 2017年 , 塔楼,5, 1个月以前发布,1930000.0,"23,001元/平",VR看装修 房本满两年 随时看房 
自在三房，安静舒适，楼巴接驳地铁,自在城市花园一二期,汉溪长隆,3室1厅 ,98.69, 北 , 精装 ,10, 2004年 , 塔楼,3,29,2600000.0,"26,346元/平",VR房源 房本满五年 随时看房 
金雅苑 户型好 采光通风好 实用高,金雅苑,滨江东,2室2厅 ,99.34, 东北 , 其他 ,9, 1998年 , 塔楼,1, 1个月以前发布,4580000.0,"46,105元/平",VR房源 房本满五年 
一期南向大三房，1梯4户，全新未入住 小高层！,叠翠峰,南沙区府,3室1厅 ,104.19, 南 , 精装 ,11, 2017年 , 塔楼,0,24,2700000.0,"25,915元/平",VR房源 房本满五年 随时看房 
一期南向大三房，使用率高，1梯4户小高层，随时可看,叠翠峰,南沙区府,3室1厅 ,104.19, 南 , 精装 ,11, 2017年 , 塔楼,0,24,2700000.0,"25,915元/平",VR房源 房本满五年 随时看房 
刚需三房，地铁口配套齐全，南向采光好，随时看房！,丰庭花园,金洲,3室2厅 ,83.36, 南 , 简装 ,8, 2005年 , 塔楼,5,29,1250000.0,"14,996元/平",VR看装修 房本满五年 
白云新城傍低密度实用3房，环境优美居住舒适,黄石小区,黄石,3室1厅 ,96.49, 南 北 , 简装 ,9, 1999年 , 塔楼,1, 1个月以前发布,3180000.0,"32,957元/平",VR房源 房本满五年 随时看房 
碧桂园豪进广场 3室2厅 东南,碧桂园豪进广场,白江,3室2厅 ,99.11, 东南 , 精装 ,31, 2016年 , 塔楼,2,25,1750000.0,"17,658元/平",近地铁 VR房源 房本满五年 随时看房 
过五唯一，税费低，低预算方正毛坯两房,逸泉映翠,江浦街,2室2厅 ,76.63, 北 , 毛坯 ,24, 2015年 , 塔楼,0,24,650000.0,"8,483元/平",VR房源 房本满五年 随时看房 
临江物业 原装电梯中高层视野开阔采光好,海运小区,五羊新城,2室1厅 ,74.55, 南 西 , 简装 ,23, 1996年 , 塔楼,0, 1个月以前发布,4300000.0,"57,680元/平",VR房源 房本满五年 随时看房 
中楼层两房 双阳台  满五唯一 采光通风好 近地铁,棠德花苑,棠下,2室2厅 ,62.15, 南 , 精装 ,10, 1997年 , 板塔结合,1,29,2180000.0,"35,077元/平",VR看装修 房本满五年 随时看房 
南北对流.阔绰双阳台.中间楼层，视野好，诚意出,金泽豪庭一期,白江,3室1厅 ,142.6, 南 北 , 简装 ,26, 2009年 , 塔楼,0, 1个月以前发布,2050000.0,"14,376元/平",近地铁 VR房源 房本满两年 随时看房 
南沙云山诗意 3室2厅 南,南沙云山诗意,金洲,3室2厅 ,103.07, 南 , 精装 ,28, 2014年 , 塔楼,5,27,2360000.0,"22,898元/平",VR看装修 房本满五年 随时看房 
此房格局方正   户型实用 空间大,珠光御景山水城,江浦街,4室2厅 ,104.26, 北 , 精装 ,31, 2018年 , 塔楼,1, 3个月以前发布,980000.0,"9,400元/平",VR看装修 房本满两年 随时看房 
户型方正，动静分明，配套设施齐全，交通便利,雅居乐富春山居,科学城,4室2厅 ,198.72, 南 , 精装 ,25, 2016年 , 塔楼,7, 2个月以前发布,8700000.0,"43,781元/平",近地铁 VR看装修 房本满两年 随时看房 
雅湖居联排别墅 过五年唯一省税 南北对流 带前后花园,雅居乐花园雅湖居,雅居乐,5室2厅 ,191.8, 南 北 , 精装 ,1, 2010年 , 塔楼,5, 2个月以前发布,10500000.0,"54,745元/平",VR房源 房本满五年 随时看房 
南北对流大四房，户型方正，视野开阔，通风采光好,合汇·中央广场,荔城中区,4室2厅 ,140.46, 南 , 毛坯 ,37, 2017年 , 塔楼,24, 一年前发布,2540000.0,"18,084元/平",近地铁 VR看装修 房本满两年 随时看房 
全新没住过，户型实用 看房方便,保利i立方,永宁,4室2厅 ,97.72, 南 北 , 精装 ,17, 2019年 , 塔楼,5, 一年前发布,1280000.0,"13,099元/平",VR房源 房本满两年 随时看房 
东方名都 复式四房 带装修  视野开阔,东方名都花园,白江,4室2厅 ,141.15, 西南 , 精装 ,29, 2013年 , 塔楼,31, 一年前发布,2600000.0,"18,421元/平",近地铁 VR房源 房本满五年 随时看房 
汇东国际：南北对流，隔局方正，证满五年。,汇东国际花园,白江,3室2厅 ,131.38, 东南 , 精装 ,28, 2012年 , 塔楼,3, 一年前发布,1960000.0,"14,919元/平",VR看装修 房本满五年 随时看房 
此房楼龄新，全新未入住，业主诚意出,佳兆业城市广场,南岗,4室2厅 ,99.35, 北 , 精装 ,38, 2020年 , 塔楼,14, 10个月以前发布,2880000.0,"28,989元/平",VR房源 房本满两年 随时看房 
金地香山湖大四房，南北对流，视野采光好,金地香山湖,永宁,4室2厅 ,137.89, 南 , 毛坯 ,33, 2019年 , 塔楼,2, 一年前发布,1300000.0,"9,428元/平",VR看装修 房本满两年 随时看房 
东方名都  全新未住4房  西南向 望花园,东方名都花园,白江,4室1厅 ,145.2, 东南 , 精装 ,29, 2013年 , 塔楼,2, 8个月以前发布,2880000.0,"19,835元/平",近地铁 VR房源 房本满五年 随时看房 
满五年南向看花园四房，户型方正，中间楼栋带大平台,金泽豪庭一期,白江,4室2厅 ,146.2, 南 北 , 精装 ,27, 2013年 , 塔楼,9, 9个月以前发布,2350000.0,"16,074元/平",近地铁 VR看装修 房本满五年 随时看房 
公园上城坐北朝南连排别墅 大5房,金地荔湖城公园上城,永宁,5室2厅 ,184.83, 南 , 毛坯 ,3, 2014年 , 暂无数据,8, 8个月以前发布,3480000.0,"18,829元/平",VR房源 房本满五年 随时看房 
高楼层视野好，满五年，有钥匙看房方便，近地铁,碧桂园豪进广场,白江,3室2厅 ,116.53, 东南 北 , 毛坯 ,31, 2016年 , 塔楼,6, 一年前发布,2050000.0,"17,593元/平",近地铁 VR看装修 房本满五年 随时看房 
荷塘月色 高层两房  新装修 层高4.2米 满五唯一,白云高尔夫花园荷塘月色,黄石,2室2厅 ,87.83, 北 , 精装 ,11, 2007年 , 塔楼,0,23,3400000.0,"38,712元/平",近地铁 VR看装修 房本满五年 
枫丹雅筑 2室1厅 南,枫丹雅筑,龙口西,2室1厅 ,54.58, 南 , 其他 ,31, 2004年 , 板塔结合,0,20,3920000.0,"71,822元/平",近地铁 VR房源 房本满五年 随时看房 
住的少精装修大3房，包全屋家私电,增城一品山湖,荔城增江,3室2厅 ,103.55, 南 , 精装 ,11, 2019年 , 塔楼,1,24,990000.0,"9,561元/平",VR房源 房本满两年 
视野景观好，楼层采光好，交通便利,阳光城悦然府,进港大道,3室2厅 ,87.15, 北 东北 , 精装 ,33, 2020年 , 塔楼,0,22,1650000.0,"18,933元/平",VR看装修 房本满两年 
锦绣御景国际四期 2室2厅 东北,锦绣御景国际四期,荔城西区,2室2厅 ,76.8, 东北 , 精装 ,32, 2015年 , 塔楼,0,18,990000.0,"12,891元/平",VR房源 房本满五年 随时看房 
临地铁电梯精装3房，户型方正实用，高层通风采光佳,景泰新村,景泰,3室1厅 ,64.93, 东南 西 , 精装 ,8, 1990年 , 塔楼,0,18,1850000.0,"28,493元/平",VR看装修 房本满两年 
中怡城市花园 西南向三房 安静望小区园林 看房方便,中怡城市花园,林和,3室2厅 ,108.98, 西南 , 其他 ,32, 2004年 , 板塔结合,3, 1个月以前发布,11600000.0,"106,442元/平",近地铁 VR房源 房本满五年 
满5年省税，户型方正实用，采光通风好，单边位的好房,信成小区,体育中心,3室1厅 ,89.45, 东 南 北 , 简装 ,8, 1995年 , 塔楼,0, 6个月以前发布,5500000.0,"61,487元/平",近地铁 VR看装修 房本满五年 随时看房 
富力桃园小户型两房 视野开阔无遮挡 低总jia 高享受,富力桃园,罗冲围,2室1厅 ,71.64, 东北 , 精装 ,16, 2004年 , 塔楼,14, 5个月以前发布,2150000.0,"30,012元/平",VR房源 房本满五年 随时看房 
原装电梯 封闭式管理 精装4房2厅2位 东南向 双阳台,心谊交警宿舍,机场路,4室2厅 ,112.84, 东南 , 精装 ,15, 1997年 , 塔楼,2,21,3270000.0,"28,980元/平",VR看装修 房本满五年 随时看房 
南北对流，前后望小区花园，中间位置的中间楼层，安静,佳兆业城市广场,南岗,4室2厅 ,130.76, 南 北 , 精装 ,32, 2020年 , 塔楼,1,22,3800000.0,"29,061元/平",VR房源 房本满两年 随时看房 
精致4房带主套  装修新净 望花园,锦绣香江花园第8期,汉溪长隆,4室1厅 ,139.34, 南 , 精装 ,17, 2004年 , 板楼,3,26,7800000.0,"55,979元/平",VR房源 房本满五年 随时看房 
南向  采  光好，大  花   园,恒大山水城,中新镇,5室1厅 ,152.7, 南 , 精装 ,3, 2008年 , 板塔结合,1,19,3650000.0,"23,904元/平",VR房源 房本满五年 随时看房 
祈福新村湖景居 一楼前后73方大花园 南向少有,祈福新村湖景居,祈福新村,4室2厅 ,102.0, 南 , 简装 ,4, 1998年 , 板楼,5,24,3200000.0,"31,373元/平",VR房源 房本满五年 随时看房 
名门大厦，全新精装修，高层，采光好！,名门大厦,珠江新城西,4室3厅 ,252.06, 西 北 , 其他 ,33, 1997年 , 塔楼,2,30,14800000.0,"58,717元/平",VR房源 房本满五年 随时看房 
瑞安创逸精装四房 香港设计 3.3米层高 花园带露天泳池,创逸雅苑,龙口东,4室1厅 ,169.11, 南 北 , 精装 ,35, 2012年 , 板塔结合,5,24,13980000.0,"82,669元/平",近地铁 VR房源 房本满五年 
富丽家园乳芳园 2室2厅 南 西,富丽家园乳芳园,大石,2室2厅 ,74.7, 南 西 , 简装 ,8, 1995年 , 塔楼,0, 7个月以前发布,1250000.0,"16,734元/平",VR看装修 房本满五年 随时看房 
黄埔仓，上下复式，装修保养好，户型实用,黄埔万科中心,文冲,3室2厅 ,66.05, 南 北 , 精装 ,22, 2016年 , 塔楼,2,22,970000.0,"14,686元/平",近地铁 房本满五年 
楼龄新 厅出阳台，另带优质车位，过五年唯一税费少,创逸雅苑,龙口东,4室2厅 ,150.98, 北 , 精装 ,35, 2009年 , 板塔结合,2,24,12980000.0,"85,972元/平",近地铁 VR看装修 房本满五年 
时代玫瑰园 二期南向大三房 望花园位置安静,时代玫瑰园,黄边,3室2厅 ,127.68, 南 , 简装 ,16, 2006年 , 塔楼,0,24,5130000.0,"40,179元/平",VR房源 房本满五年 随时看房 
金融城西区 5号大院电梯房 采光好 刚需房源 配套成熟,员村四横路5号大院,员村,2室1厅 ,61.43, 东南 , 简装 ,9, 1991年 , 塔楼,2,22,2400000.0,"39,069元/平",近地铁 VR房源 房本满五年 随时看房 
