棠德花园望中低层南向三房 望大花园位置安静 景观好,棠德花苑,棠下,3室1厅 ,72.98, 东南 , 精装 ,11, 1997年 , 塔楼,1,22,2480000.0,"33,982元/平",VR房源 房本满五年 随时看房 
保利I立方南向边位复式4房两卫中楼层无遮挡视野好,保利i立方,永宁,4室2厅 ,95.62, 南 , 精装 ,17, 2018年 , 塔楼,1,22,1330000.0,"13,910元/平",VR房源 房本满两年 随时看房 
此房是一梯两户 南北对流 大阳台，低密度，管理好。,锦尚名苑,新区,4室2厅 ,142.6, 南 , 简装 ,6, 2005年 , 板楼,2,29,2100000.0,"14,727元/平",近地铁 VR房源 房本满五年 随时看房 
景观开阔 江景大平层南北对流 户型没有改动过,珊瑚湾畔,厦滘,4室2厅 ,191.13, 南 北 , 精装 ,32, 2005年 , 塔楼,1,26,7200000.0,"37,671元/平",VR看装修 房本满五年 随时看房 
保利罗兰安静楼栋 视野开阔无遮挡 采光好,保利罗兰国际,科学城,3室1厅 ,101.6, 南 , 简装 ,33, 2016年 , 塔楼,2, 1个月以前发布,4200000.0,"41,339元/平",VR看装修 房本满两年 随时看房 
满5唯一 南北对流户型 装修好 随时看房,敏捷锦绣天伦,新塘北,3室2厅 ,119.42, 南 北 , 精装 ,32, 2015年 , 塔楼,0,28,1930000.0,"16,162元/平",VR看装修 房本满五年 随时看房 
广州北站地铁口，大社区南北对流大三房.,时代城,铁路西,3室2厅 ,116.14, 南 , 毛坯 ,25, 2010年 , 塔楼,0,29,1785000.0,"15,370元/平",VR看装修 房本满五年 随时看房 
单边大户型，格局方正，南北对流，保养新,时代春树里,香雪,4室1厅 ,113.09, 南 , 精装 ,34, 2017年 , 塔楼,6, 1个月以前发布,3020000.0,"26,705元/平",VR看装修 房本满五年 随时看房 
带70平方大露.台保养好，房子新,富雅名居,新塘北,3室1厅 ,121.93, 东南 南 北 , 精装 ,9, 2005年 , 塔楼,0, 1个月以前发布,1350000.0,"11,072元/平",VR房源 房本满五年 随时看房 
全新三房 高楼层 无遮挡 采光充足,实地蔷薇国际,荔城西区,3室2厅 ,86.02, 北 , 精装 ,32, 2019年 , 板楼,0, 1个月以前发布,1000000.0,"11,626元/平",VR看装修 房本满两年 随时看房 
力诚凯怡湾二期 南北对流三房 业主保养好,力诚凯怡湾,新塘南,3室1厅 ,89.94, 南 北 , 精装 ,18, 2019年 , 塔楼,1, 1个月以前发布,1200000.0,"13,343元/平",VR看装修 房本满两年 随时看房 
三房急卖  看房方便  各付各税  通风采光好,佳兆业城市广场,南岗,3室2厅 ,81.03, 北 , 精装 ,32, 2017年 , 塔楼,3, 1个月以前发布,1950000.0,"24,066元/平",VR看装修 房本满两年 随时看房 
佳兆业城市广场 4室2厅 南 北,佳兆业城市广场,南岗,4室2厅 ,132.0, 南 北 , 毛坯 ,32, 2017年 , 塔楼,0, 1个月以前发布,3880000.0,"29,394元/平",VR房源 房本满两年 随时看房 
花城苑，格居方正，采光充足，配套设施齐全，交通方便,花城苑,旧区,3室2厅 ,93.77, 南 , 精装 ,8, 2004年 , 塔楼,0, 1个月以前发布,980000.0,"10,452元/平",近地铁 VR看装修 房本满两年 随时看房 
罗兰大四房 南北对流 安静 中楼层 精装修 业主诚心,保利罗兰国际,科学城,4室2厅 ,172.87, 南 北 , 精装 ,34, 2013年 , 塔楼,2, 1个月以前发布,7950000.0,"45,989元/平",VR看装修 房本满两年 随时看房 
鑫隆世家精装三房，高层南向视野采光好,鑫隆世家,石楼,3室2厅 ,97.8, 南 , 精装 ,15, 2012年 , 塔楼,0, 1个月以前发布,1880000.0,"19,223元/平",VR看装修 房本满五年 随时看房 
佳兆业精装三房，南向保养好有衣帽间，诚心卖,佳兆业城市广场,南岗,3室2厅 ,83.85, 东南 , 精装 ,32, 2017年 , 塔楼,3, 1个月以前发布,2060000.0,"24,568元/平",VR房源 房本满两年 随时看房 
挪威森林位置好，格局方正实用，通风透气，南向望山,广州雅居乐花园雅逸庭,雅居乐,3室2厅 ,140.0, 西南 , 精装 ,19, 2008年 , 塔楼,6, 1个月以前发布,4500000.0,"32,143元/平",近地铁 VR房源 房本满五年 随时看房 
汇东国际花园南向大二房，红本在手，诚意放卖,汇东国际花园,白江,2室1厅 ,87.14, 南 , 毛坯 ,28, 2016年 , 塔楼,1, 1个月以前发布,1200000.0,"13,771元/平",VR房源 房本满两年 随时看房 
小区独栋，中间楼层，望园林，视野开阔,万科东荟城,香雪,3室1厅 ,97.41, 西南 , 精装 ,33, 2015年 , 塔楼,4, 1个月以前发布,3350000.0,"34,391元/平",VR房源 房本满五年 随时看房 
东怡新区 东雅园 电梯3房 格局方正,东怡新区东雅园,东怡新区,3室2厅 ,100.87, 南 , 简装 ,12, 2003年 , 塔楼,3, 1个月以前发布,2250000.0,"22,306元/平",VR房源 房本满五年 随时看房 
康裕园东区，已加装电梯并使用中，格局方正,康裕园,市桥,3室2厅 ,123.3, 南 北 , 简装 ,7, 1993年 , 塔楼,2, 1个月以前发布,2580000.0,"20,925元/平",VR看装修 房本满两年 随时看房 
锦绣半岛金月湾 3室2厅 东南,锦绣半岛金月湾,南浦,3室2厅 ,129.16, 东南 , 精装 ,23, 2016年 , 塔楼,6, 1个月以前发布,3700000.0,"28,647元/平",VR房源 房本满五年 随时看房 
华筑翡翠湾 精装三房 采光好 通风好 东南朝向 电梯房,华筑翡翠湾,大石,3室1厅 ,89.35, 南 , 精装 ,32, 2018年 , 塔楼,1, 1个月以前发布,3120000.0,"34,919元/平",VR看装修 房本满两年 随时看房 
豪进山湖精装大三房  南北对流  业主急卖 装修保养好,豪进山湖珺璟,白江,3室2厅 ,123.35, 南 北 , 精装 ,20, 2011年 , 塔楼,2, 1个月以前发布,2260000.0,"18,322元/平",VR看装修 房本满两年 随时看房 
中间楼层，视野开阔，采光充足，出行方便,时代春树里,香雪,3室2厅 ,80.54, 东北 , 精装 ,18, 2016年 , 塔楼,5, 1个月以前发布,2270000.0,"28,185元/平",VR看装修 房本满五年 随时看房 
南浦海滨花园 临.近地铁口 低密度 户型方正,南浦海滨花园,南浦,3室2厅 ,102.23, 北 , 精装 ,6, 2002年 , 塔楼,6, 1个月以前发布,2180000.0,"21,325元/平",近地铁 VR看装修 房本满五年 随时看房 
业主诚心卖房，看房方便，花园小区,创逸雅苑,龙口东,2室1厅 ,95.78, 北 , 精装 ,35, 2009年 , 板塔结合,4,31,7800000.0,"81,437元/平",近地铁 VR房源 房本满五年 随时看房 
碧桂园天玺湾南向全新未住小三房适合刚需年轻人,碧桂园天玺湾,进港大道,3室2厅 ,89.33, 东南 , 精装 ,31, 2014年 , 板塔结合,4,28,1680000.0,"18,807元/平",VR房源 房本满五年 随时看房 
海晴居三房南向一楼大花园，方正实用采光好。,祈福新村海晴居,祈福新村,3室1厅 ,74.2, 南 , 精装 ,6, 2003年 , 板楼,2,28,2400000.0,"32,346元/平",VR房源 房本满五年 随时看房 
海伦堡花园 三房两卫 南向 通风采光好 配套齐全,海伦堡花园,沙村,3室1厅 ,94.95, 东南 , 精装 ,18, 2012年 , 塔楼,1,23,1380000.0,"14,534元/平",VR看装修 房本满五年 随时看房 
山水城  104方   东南向  精装修  过5且唯一,珠光御景山水城,江浦街,3室2厅 ,104.57, 东南 , 精装 ,24, 2015年 , 塔楼,1,26,980000.0,"9,372元/平",VR看装修 房本满五年 随时看房 
新都城市花园 3室2厅 东,新都城市花园,新区,3室2厅 ,116.5, 东 , 精装 ,9, 2005年 , 塔楼,1,27,2050000.0,"17,597元/平",近地铁 VR看装修 房本满五年 随时看房 
保养好 中低层 朝南 近小区大门口,锦绣趣园,钟村,3室2厅 ,95.95, 西南 , 精装 ,6, 2005年 , 塔楼,0,21,2280000.0,"23,763元/平",VR看装修 房本满五年 
南向中高层两房 精装保养好 随时可过户,中森茗苑,新塘北,2室2厅 ,70.55, 南 , 精装 ,17, 2016年 , 塔楼,4,19,1020000.0,"14,458元/平",VR房源 房本满五年 随时看房 
鸿禧华庭一期  邻近地铁 南北对流  精装修 可拎包入住,鸿禧华庭,市桥,3室2厅 ,133.91, 西南 , 精装 ,17, 2004年 , 塔楼,0,20,5300000.0,"39,579元/平",近地铁 VR看装修 房本满两年 
视野好 保养新 采光充足 业主急卖,丽江花园九如通津,南浦,3室2厅 ,105.5, 西南 , 精装 ,11, 2000年 , 塔楼,0,24,3150000.0,"29,858元/平",VR房源 房本满两年 
采光通风好，全屋品牌定制，自住保养好,亚运城天成,亚运城,3室2厅 ,99.05, 南 , 精装 ,55, 2019年 , 塔楼,2,21,2720000.0,"27,461元/平",VR看装修 房本满两年 随时看房 
江南新村 近地铁 近前门  精装修  可拎包入住,江南新村,市桥北,3室2厅 ,73.89, 西南 , 精装 ,7, 1998年 , 塔楼,1,22,1300000.0,"17,594元/平",近地铁 VR看装修 房本满五年 
户型方正 南向中层看花园位置安静 满五年税费少,汇美体育花园,新塘北,3室2厅 ,124.51, 南 北 , 精装 ,23, 2006年 , 塔楼,0,24,1480000.0,"11,887元/平",VR房源 房本满五年 
祈福新村B区大别墅  靓装 过五无抵押,祈福新村B区,祈福新村,6室2厅 ,197.91, 北 , 精装 ,1, 1995年 , 暂无数据,4, 1个月以前发布,8800000.0,"44,465元/平",VR房源 房本满五年 
环市东商圈 青菜东街电梯大三房双阳台,先烈南路青菜东街,建设路,3室2厅 ,92.58, 东南 , 简装 ,8, 1990年 , 塔楼,1, 1个月以前发布,4450000.0,"48,067元/平",近地铁 VR看装修 房本满五年 
南沙珠江湾看海，满五唯一，户型房正，产权清晰,南沙珠江湾,南沙湾,3室2厅 ,137.46, 南 北 , 其他 ,18, 2012年 , 板塔结合,2,30,2150000.0,"15,641元/平",VR房源 房本满五年 随时看房 
新康花园 3室2厅 南,新康花园,白江,3室2厅 ,132.32, 南 , 精装 ,7, 2005年 , 塔楼,1,26,1450000.0,"10,959元/平",VR房源 房本满五年 
翠屏品质小区 高层南向4房 楼龄新,翠屏中惠雅苑,宝岗,4室2厅 ,135.68, 南 , 精装 ,33, 2009年 , 塔楼,0,28,7600000.0,"56,015元/平",VR房源 房本满五年 
房子是办公 适合出租 过2年 产权50年，低层方便上落,中贸国际,新塘北,3室1厅 ,109.0, 东南 , 精装 ,13, 2016年 , 塔楼,1, 1个月以前发布,580000.0,"5,322元/平",房本满五年 随时看房 
金泽豪庭 高层南北对流大三房 望花园安静不吵,金泽豪庭一期,白江,3室2厅 ,114.94, 南 北 , 精装 ,27, 2009年 , 塔楼,5, 1个月以前发布,1800000.0,"15,661元/平",近地铁 VR看装修 房本满五年 随时看房 
中怡城市花园 西南向三房 安静望小区园林 看房方便,中怡城市花园,林和,3室2厅 ,108.98, 西南 , 其他 ,32, 2004年 , 板塔结合,3, 1个月以前发布,11600000.0,"106,442元/平",近地铁 VR房源 房本满五年 
满5年省税，户型方正实用，采光通风好，单边位的好房,信成小区,体育中心,3室1厅 ,89.45, 东 南 北 , 简装 ,8, 1995年 , 塔楼,0, 6个月以前发布,5500000.0,"61,487元/平",近地铁 VR看装修 房本满五年 随时看房 
富力桃园小户型两房 视野开阔无遮挡 低总jia 高享受,富力桃园,罗冲围,2室1厅 ,71.64, 东北 , 精装 ,16, 2004年 , 塔楼,14, 5个月以前发布,2150000.0,"30,012元/平",VR房源 房本满五年 随时看房 
原装电梯 封闭式管理 精装4房2厅2位 东南向 双阳台,心谊交警宿舍,机场路,4室2厅 ,112.84, 东南 , 精装 ,15, 1997年 , 塔楼,2,22,3270000.0,"28,980元/平",VR看装修 房本满五年 随时看房 
南北对流，前后望小区花园，中间位置的中间楼层，安静,佳兆业城市广场,南岗,4室2厅 ,130.76, 南 北 , 精装 ,32, 2020年 , 塔楼,1,22,3800000.0,"29,061元/平",VR房源 房本满两年 随时看房 
精致4房带主套  装修新净 望花园,锦绣香江花园第8期,汉溪长隆,4室1厅 ,139.34, 南 , 精装 ,17, 2004年 , 板楼,3,27,7800000.0,"55,979元/平",VR房源 房本满五年 随时看房 
南向  采  光好，大  花   园,恒大山水城,中新镇,5室1厅 ,152.7, 南 , 精装 ,3, 2008年 , 板塔结合,1,19,3650000.0,"23,904元/平",VR房源 房本满五年 随时看房 
龙光南向望别墅三房，安静视野开阔,龙光峰景华庭,科学城,3室1厅 ,92.27, 东南 , 精装 ,18, 2009年 , 塔楼,4,21,2860000.0,"30,996元/平",VR房源 房本满五年 随时看房 
祈福新村湖景居 一楼前后73方大花园 南向少有,祈福新村湖景居,祈福新村,4室2厅 ,102.0, 南 , 简装 ,4, 1998年 , 板楼,5,24,3200000.0,"31,373元/平",VR房源 房本满五年 随时看房 
名门大厦，全新精装修，高层，采光好！,名门大厦,珠江新城西,4室3厅 ,252.06, 西 北 , 其他 ,33, 1997年 , 塔楼,2,31,14800000.0,"58,717元/平",VR房源 房本满五年 随时看房 
富丽家园乳芳园 2室2厅 南 西,富丽家园乳芳园,大石,2室2厅 ,74.7, 南 西 , 简装 ,8, 1995年 , 塔楼,0, 7个月以前发布,1250000.0,"16,734元/平",VR看装修 房本满五年 随时看房 
瑞安创逸精装四房 香港设计 3.3米层高 花园带露天泳池,创逸雅苑,龙口东,4室1厅 ,169.11, 南 北 , 精装 ,35, 2012年 , 板塔结合,5,24,13980000.0,"82,669元/平",近地铁 VR房源 房本满五年 
楼龄新 厅出阳台，另带优质车位，过五年唯一税费少,创逸雅苑,龙口东,4室2厅 ,150.98, 北 , 精装 ,35, 2009年 , 板塔结合,2,24,12980000.0,"85,972元/平",近地铁 VR看装修 房本满五年 
黄埔仓，上下复式，装修保养好，户型实用,黄埔万科中心,文冲,3室2厅 ,66.05, 南 北 , 精装 ,22, 2016年 , 塔楼,2,22,970000.0,"14,686元/平",近地铁 房本满五年 
金融城西区 5号大院电梯房 采光好 刚需房源 配套成熟,员村四横路5号大院,员村,2室1厅 ,61.43, 东南 , 简装 ,9, 1991年 , 塔楼,2,23,2400000.0,"39,069元/平",近地铁 VR房源 房本满五年 随时看房 
丹桂园 3室2厅 南,丹桂园,市桥,3室2厅 ,116.1, 南 , 简装 ,7, 2003年 , 板楼,1,24,1680000.0,"14,471元/平",近地铁 VR看装修 房本满两年 随时看房 
碧桂园天玺高层海景三房诚意放盘,碧桂园天玺湾,进港大道,3室1厅 ,93.07, 南 , 精装 ,30, 2014年 , 板塔结合,0,22,1880000.0,"20,200元/平",VR房源 房本满五年 随时看房 
精装修 拎包入住 南北对流采光通透 居住舒适 诚意出手,雅居乐富春山居,科学城,5室2厅 ,198.31, 东南 , 精装 ,25, 2016年 , 塔楼,3,23,8800000.0,"44,375元/平",近地铁 VR看装修 房本满两年 随时看房 
天马丽苑东南向精致三房满五唯一，包家私电,天马丽苑二期,铁路西,3室2厅 ,96.23, 东南 , 精装 ,33, 2007年 , 塔楼,0,24,1320000.0,"13,718元/平",VR看装修 房本满五年 随时看房 
看小区园林 格局方正实用 通风采光好 刚需上车,美心翠拥华庭一期,番禺客运站,3室2厅 ,86.86, 北 , 简装 ,6, 2004年 , 塔楼,2,24,1760000.0,"20,263元/平",VR房源 房本满五年 随时看房 
临江物业 原装电梯中高层视野开阔采光好,海运小区,五羊新城,2室1厅 ,74.55, 南 西 , 简装 ,23, 1996年 , 塔楼,0, 1个月以前发布,4300000.0,"57,680元/平",VR房源 房本满五年 随时看房 
佳兆业城市广场 三房两卫户型 业主有心卖 jia格可谈,佳兆业城市广场,南岗,3室2厅 ,83.91, 北 , 精装 ,32, 2017年 , 塔楼,5, 1个月以前发布,1930000.0,"23,001元/平",VR看装修 房本满两年 随时看房 
此房格局方正   户型实用 空间大,珠光御景山水城,江浦街,4室2厅 ,104.26, 北 , 精装 ,31, 2018年 , 塔楼,1, 3个月以前发布,980000.0,"9,400元/平",VR看装修 房本满两年 随时看房 
雅湖居联排别墅 过五年唯一省税 南北对流 带前后花园,雅居乐花园雅湖居,雅居乐,5室2厅 ,191.8, 南 北 , 精装 ,1, 2010年 , 塔楼,5, 2个月以前发布,10500000.0,"54,745元/平",VR房源 房本满五年 随时看房 
户型方正，动静分明，配套设施齐全，交通便利,雅居乐富春山居,科学城,4室2厅 ,198.72, 南 , 精装 ,25, 2016年 , 塔楼,7, 2个月以前发布,8700000.0,"43,781元/平",近地铁 VR看装修 房本满两年 随时看房 
东方名都 复式四房 带装修  视野开阔,东方名都花园,白江,4室2厅 ,141.15, 西南 , 精装 ,29, 2013年 , 塔楼,31, 一年前发布,2600000.0,"18,421元/平",近地铁 VR房源 房本满五年 随时看房 
南北对流大四房，户型方正，视野开阔，通风采光好,合汇·中央广场,荔城中区,4室2厅 ,140.46, 南 , 毛坯 ,37, 2017年 , 塔楼,24, 一年前发布,2540000.0,"18,084元/平",近地铁 VR看装修 房本满两年 随时看房 
金地香山湖大四房，南北对流，视野采光好,金地香山湖,永宁,4室2厅 ,137.89, 南 , 毛坯 ,33, 2019年 , 塔楼,2, 一年前发布,1300000.0,"9,428元/平",VR看装修 房本满两年 随时看房 
东方名都  全新未住4房  西南向 望花园,东方名都花园,白江,4室1厅 ,145.2, 东南 , 精装 ,29, 2013年 , 塔楼,2, 8个月以前发布,2880000.0,"19,835元/平",近地铁 VR房源 房本满五年 随时看房 
汇东国际：南北对流，隔局方正，证满五年。,汇东国际花园,白江,3室2厅 ,131.38, 东南 , 精装 ,28, 2012年 , 塔楼,3, 一年前发布,1960000.0,"14,919元/平",VR看装修 房本满五年 随时看房 
公园上城坐北朝南连排别墅 大5房,金地荔湖城公园上城,永宁,5室2厅 ,184.83, 南 , 毛坯 ,3, 2014年 , 暂无数据,8, 8个月以前发布,3480000.0,"18,829元/平",VR房源 房本满五年 随时看房 
满五年南向看花园四房，户型方正，中间楼栋带大平台,金泽豪庭一期,白江,4室2厅 ,146.2, 南 北 , 精装 ,27, 2013年 , 塔楼,9, 9个月以前发布,2350000.0,"16,074元/平",近地铁 VR看装修 房本满五年 随时看房 
此房楼龄新，全新未入住，业主诚意出,佳兆业城市广场,南岗,4室2厅 ,99.35, 北 , 精装 ,38, 2020年 , 塔楼,14, 10个月以前发布,2880000.0,"28,989元/平",VR房源 房本满两年 随时看房 
高楼层视野好，满五年，有钥匙看房方便，近地铁,碧桂园豪进广场,白江,3室2厅 ,116.53, 东南 北 , 毛坯 ,31, 2016年 , 塔楼,6, 一年前发布,2050000.0,"17,593元/平",近地铁 VR看装修 房本满五年 随时看房 
全新没住过，户型实用 看房方便,保利i立方,永宁,4室2厅 ,97.72, 南 北 , 精装 ,17, 2019年 , 塔楼,5, 一年前发布,1280000.0,"13,099元/平",VR房源 房本满两年 随时看房 
枫丹雅筑 2室1厅 南,枫丹雅筑,龙口西,2室1厅 ,54.58, 南 , 其他 ,31, 2004年 , 板塔结合,0,20,3920000.0,"71,822元/平",近地铁 VR房源 房本满五年 随时看房 
锦绣御景国际四期 2室2厅 东北,锦绣御景国际四期,荔城西区,2室2厅 ,76.8, 东北 , 精装 ,32, 2015年 , 塔楼,0,18,990000.0,"12,891元/平",VR房源 房本满五年 随时看房 
住的少精装修大3房，包全屋家私电,增城一品山湖,荔城增江,3室2厅 ,103.55, 南 , 精装 ,11, 2019年 , 塔楼,1,24,990000.0,"9,561元/平",VR房源 房本满两年 
临地铁电梯精装3房，户型方正实用，高层通风采光佳,景泰新村,景泰,3室1厅 ,64.93, 东南 西 , 精装 ,8, 1990年 , 塔楼,0,19,1850000.0,"28,493元/平",VR看装修 房本满两年 
电梯平层南向望人工湖小公园旁边 视野开阔  安静舒适,中山大学宿舍,中大,4室2厅 ,103.03, 东南 , 精装 ,5, 1993年 , 板楼,1,25,9500000.0,"92,207元/平",近地铁 VR房源 房本满五年 
高层 安静不吵 原装电梯 配套齐全 视野开阔,河源大厦,林和,2室1厅 ,80.61, 北 , 简装 ,16, 1998年 , 板塔结合,0,25,3200000.0,"39,698元/平",近地铁 VR房源 房本满五年 
丽水湾 高层看江三房 新装修 拎包入住 割爱,富丽家园丽水湾,大石,3室1厅 ,107.18, 北 , 其他 ,11, 1995年 , 板塔结合,3,24,3550000.0,"33,122元/平",VR房源 房本满两年 
户型方正，采光通风好业主诚心卖，产权清晰，交易清晰,龙湖首开天宸原著,黄村,3室2厅 ,97.36, 南 , 精装 ,27, 2016年 , 板塔结合,2,20,6500000.0,"66,763元/平",VR看装修 房本满五年 
天河 橡树园小区 原装电梯 南向 户型方正两房 好楼层,橡树园,沙太南,2室1厅 ,70.16, 南 , 精装 ,9, 2006年 , 塔楼,1,24,2590000.0,"36,916元/平",VR看装修 房本满两年 
穗龙花园 原装电梯 精装修 拧包入住 采光通风好,穗龙花园,宝岗,3室2厅 ,96.33, 南 , 精装 ,12, 2000年 , 塔楼,2,23,3830000.0,"39,760元/平",近地铁 VR看装修 房本满两年 随时看房 
豪利花园 3室2厅 西南,豪利花园,镜湖大道,3室2厅 ,90.54, 西南 , 其他 ,16, 2014年 , 塔楼,1,24,1630000.0,"18,004元/平",VR看装修 房本满五年 
急卖必看 无水井  保养好 楼层视野开阔 近地铁,尚东阳光,沙村,3室2厅 ,108.84, 北 , 精装 ,25, 2017年 , 塔楼,2,23,1750000.0,"16,079元/平",VR看装修 房本满两年 
急出，碧桂园，中间楼层，保养不错,南沙碧桂园,金洲,3室2厅 ,108.97, 北 , 精装 ,12, 2007年 , 板塔结合,1,23,1498000.0,"13,747元/平",VR看装修 房本满五年 
时代玫瑰园三期 单边 chao大阳台16.8方 保养好,时代玫瑰园,黄边,3室2厅 ,115.4, 西南 , 精装 ,18, 2008年 , 塔楼,4,22,4500000.0,"38,995元/平",VR看装修 房本满五年 
视野景观好，楼层采光好，交通便利,阳光城悦然府,进港大道,3室2厅 ,87.15, 北 东北 , 精装 ,33, 2020年 , 塔楼,0,22,1650000.0,"18,933元/平",VR看装修 房本满两年 
金融城优质三房 南北对流 采光透风好,盈彩美居,东圃,3室2厅 ,89.63, 南 北 , 精装 ,18, 2003年 , 塔楼,3,21,4990000.0,"55,674元/平",VR看装修 房本满五年 
保利壹号公馆 3室2厅 东 东南,保利壹号公馆,增城区府,3室2厅 ,104.96, 东 东南 , 精装 ,13, 2010年 , 板塔结合,0,26,1350000.0,"12,863元/平",VR看装修 房本满两年 随时看房 
紫泉流溪湾  低密度组团 居住舒适,紫泉流溪湾,太平镇,2室1厅 ,82.62, 东南 , 精装 ,17, 2018年 , 板楼,2,25,790000.0,"9,562元/平",VR房源 房本满两年 随时看房 
此房是金碧御水山庄温馨3房，岺包入住，精装修。,金碧御水山庄,狮岭镇,3室1厅 ,74.0, 东 , 精装 ,6, 2009年 , 塔楼,2, 1个月以前发布,550000.0,"7,433元/平",VR房源 房本满五年 随时看房 
步行地铁500米 小高层次新房  实用2房 采光好,保利红馆,汉溪长隆,2室1厅 ,57.1, 西南 西 , 简装 ,18, 2015年 , 板塔结合,6,28,2610000.0,"45,710元/平",近地铁 VR房源 房本满两年 随时看房 
雅宝新城 4室2厅 南,雅宝新城,秀全街,4室2厅 ,148.78, 南 , 精装 ,28, 2012年 , 塔楼,0,26,2150000.0,"14,451元/平",VR看装修 房本满五年 随时看房 
（笋！）近缤纷汇商圈，翠怡居中层大三房，单边靓位,祈福新村翠怡居,祈福新村,3室2厅 ,92.38, 北 , 精装 ,5, 2000年 , 板楼,1,26,1900000.0,"20,568元/平",VR房源 房本满五年 随时看房 
